nodeName	lemma_en_US	lemma_id_ID
wn30:01775535-v	love	cinta
wn30:01168468-v	eat	makan
wn30:01930874-v	drive	mengendarai
wn30:01835496-v	go	pergi
wn30:02129289-v	see	melihat
wn30:00588888-v understand  mengerti
